time,data,data_err,map_flux,pc_flux
60678.063684,1.002648,0.000017,1.002751,1.002751
60678.073103,1.002741,0.000017,1.002776,1.002777
60678.082521,1.002745,0.000017,1.002800,1.002801
60678.091940,1.002715,0.000017,1.002822,1.002824
60678.101359,1.002781,0.000017,1.002843,1.002845
60678.110778,1.002841,0.000017,1.002862,1.002865
60678.120197,1.002905,0.000017,1.002879,1.002882
60678.129616,1.002863,0.000017,1.002894,1.002898
60678.139034,1.001457,0.000017,1.001106,1.001232
60678.148453,0.999972,0.000017,1.000000,1.000000
60678.157872,1.000019,0.000017,1.000000,1.000000
60678.167291,1.000018,0.000017,1.000000,1.000000
60678.176710,1.000045,0.000017,1.000000,1.000000
60678.186129,1.000047,0.000017,1.000000,1.000000
60678.195547,0.999941,0.000017,1.000000,1.000000
60678.204966,0.999981,0.000017,1.000000,1.000000
60678.214385,0.999964,0.000017,1.000000,1.000000
60678.223804,1.000003,0.000017,1.000000,1.000000
60678.233223,1.000005,0.000017,1.000000,1.000000
60678.242642,1.000055,0.000017,1.000000,1.000000
60678.252060,0.999993,0.000017,1.000000,1.000000
60678.261479,0.999926,0.000017,1.000000,1.000000
60678.270898,0.999998,0.000017,1.000000,1.000000
60678.280317,1.001258,0.000017,1.001062,1.001215
60678.289736,1.002716,0.000017,1.002872,1.002879
60678.299155,1.002865,0.000017,1.002854,1.002861
60678.308574,1.002804,0.000017,1.002834,1.002841
60678.317992,1.002815,0.000017,1.002813,1.002819
60678.327411,1.002746,0.000017,1.002789,1.002796
60678.336830,1.002719,0.000017,1.002764,1.002770
60678.346249,1.002698,0.000017,1.002737,1.002743
60678.355668,1.002669,0.000017,1.002709,1.002715
60678.365087,1.002654,0.000017,1.002679,1.002684
60678.374505,1.002594,0.000017,1.002648,1.002653
60678.383924,1.002595,0.000017,1.002615,1.002620
60678.393343,1.002557,0.000017,1.002581,1.002585
60678.402762,1.002586,0.000017,1.002546,1.002549
60678.412181,1.002521,0.000017,1.002509,1.002512
60678.421600,1.002488,0.000017,1.002471,1.002474
60678.431018,1.002475,0.000017,1.002432,1.002434
60678.440437,1.002414,0.000017,1.002392,1.002393
60678.449856,1.002329,0.000017,1.002350,1.002352
60678.459275,1.002305,0.000017,1.002308,1.002309
60678.468694,1.002295,0.000017,1.002265,1.002265
60678.478113,1.002194,0.000017,1.002221,1.002221
60678.487531,1.002159,0.000017,1.002177,1.002176
60678.496950,1.002131,0.000017,1.002131,1.002130
60678.506369,1.002085,0.000017,1.002085,1.002084
60678.515788,1.002019,0.000017,1.002039,1.002037
60678.525207,1.001993,0.000017,1.001992,1.001989
60678.534626,1.001928,0.000017,1.001944,1.001941
60678.544044,1.001895,0.000017,1.001897,1.001893
60678.553463,1.001875,0.000017,1.001849,1.001845
60678.562882,1.001816,0.000017,1.001801,1.001796
60678.572301,1.001798,0.000017,1.001752,1.001748
60678.581720,1.001810,0.000017,1.001704,1.001699
60678.591139,1.001746,0.000017,1.001656,1.001651
60678.600557,1.001679,0.000017,1.001608,1.001602
60678.609976,1.001642,0.000017,1.001560,1.001554
60678.619395,1.001565,0.000017,1.001512,1.001506
60678.628814,1.001549,0.000017,1.001464,1.001458
60678.638233,1.001531,0.000017,1.001417,1.001410
60678.647652,1.001450,0.000017,1.001370,1.001363
60678.657070,1.001422,0.000017,1.001323,1.001317
60678.666489,1.001295,0.000017,1.001277,1.001271
60678.675908,1.001283,0.000017,1.001232,1.001225
60678.685327,1.001223,0.000017,1.001187,1.001180
60678.694746,1.001223,0.000017,1.001143,1.001136
60678.704165,1.001133,0.000017,1.001100,1.001093
60678.713584,1.001086,0.000017,1.001057,1.001050
60678.723002,1.000986,0.000017,1.001015,1.001008
60678.732421,1.000944,0.000017,1.000974,1.000967
60678.741840,1.000987,0.000017,1.000934,1.000927
60678.751259,1.000930,0.000017,1.000894,1.000888
60678.762094,1.000731,0.000017,1.000850,1.000844
60678.771588,1.000751,0.000017,1.000812,1.000807
60678.781007,1.000700,0.000017,1.000776,1.000771
60678.790425,1.000665,0.000017,1.000741,1.000736
60678.799844,1.000649,0.000017,1.000706,1.000702
60678.809263,1.000681,0.000017,1.000673,1.000669
60678.818682,1.000633,0.000017,1.000641,1.000637
60678.828101,1.000540,0.000017,1.000610,1.000607
60678.837519,1.000570,0.000017,1.000580,1.000577
60678.846938,1.000475,0.000017,1.000551,1.000549
60678.856357,1.000463,0.000017,1.000524,1.000522
60678.865776,1.000446,0.000017,1.000497,1.000496
60678.875195,1.000349,0.000017,1.000472,1.000471
60678.884614,1.000319,0.000017,1.000447,1.000447
60678.894032,1.000304,0.000017,1.000424,1.000424
60678.903451,1.000331,0.000017,1.000403,1.000403
60678.912870,1.000397,0.000017,1.000382,1.000383
60678.922289,1.000271,0.000017,1.000362,1.000364
60678.931708,1.000288,0.000017,1.000344,1.000346
60678.941127,1.000255,0.000017,1.000327,1.000329
60678.950545,1.000181,0.000017,1.000311,1.000313
60678.959964,1.000166,0.000017,1.000296,1.000299
60678.969383,1.000185,0.000017,1.000282,1.000286
60678.978802,1.000182,0.000017,1.000269,1.000273
60678.988221,1.000157,0.000017,1.000258,1.000262
60678.997640,1.000139,0.000017,1.000247,1.000252
60679.007058,1.000121,0.000017,1.000238,1.000243
60679.016477,1.000098,0.000017,1.000230,1.000236
60679.025896,1.000050,0.000017,1.000223,1.000229
60679.035315,0.999699,0.000017,1.000029,1.000035
60679.044734,0.993847,0.000017,0.992564,0.992570
60679.054152,0.988363,0.000017,0.988293,0.988299
60679.063571,0.987847,0.000017,0.988112,0.988118
60679.072990,0.987702,0.000017,0.987835,0.987841
60679.082409,0.987545,0.000017,0.987566,0.987573
60679.091828,0.987539,0.000017,0.987346,0.987353
60679.101247,0.987537,0.000017,0.987195,0.987202
60679.110665,0.987436,0.000017,0.987122,0.987129
60679.120084,0.987408,0.000017,0.987132,0.987139
60679.129503,0.987449,0.000017,0.987224,0.987231
60679.138922,0.987492,0.000017,0.987394,0.987401
60679.148341,0.987575,0.000017,0.987630,0.987637
60679.157760,0.987714,0.000017,0.987910,0.987917
60679.167178,0.987912,0.000017,0.988189,0.988196
60679.176597,0.988742,0.000017,0.988337,0.988344
60679.186016,0.995167,0.000017,0.993963,0.993969
60679.195435,1.000018,0.000017,1.000276,1.000282
60679.204854,1.000187,0.000017,1.000289,1.000294
60679.214273,1.000192,0.000017,1.000302,1.000307
60679.223691,1.000239,0.000017,1.000317,1.000321
60679.233110,1.000258,0.000017,1.000332,1.000336
60679.242529,1.000238,0.000017,1.000348,1.000352
60679.251948,1.000268,0.000017,1.000366,1.000369
60679.261367,1.000344,0.000017,1.000384,1.000386
60679.270785,1.000245,0.000017,1.000403,1.000405
60679.280204,1.000275,0.000017,1.000423,1.000425
60679.289623,1.000299,0.000017,1.000444,1.000445
60679.299042,1.000362,0.000017,1.000466,1.000466
60679.308461,1.000379,0.000017,1.000489,1.000489
60679.317880,1.000479,0.000017,1.000513,1.000512
60679.327298,1.000479,0.000017,1.000538,1.000536
60679.336717,1.000594,0.000017,1.000563,1.000561
60679.346136,1.000631,0.000017,1.000590,1.000587
60679.355555,1.000640,0.000017,1.000617,1.000614
60679.364974,1.000671,0.000017,1.000646,1.000642
60679.374393,1.000724,0.000017,1.000675,1.000670
60679.383811,1.000689,0.000017,1.000705,1.000700
60679.393230,1.000698,0.000017,1.000736,1.000730
60679.402649,1.000722,0.000017,1.000768,1.000762
60679.412068,1.000775,0.000017,1.000801,1.000794
60679.421487,1.000907,0.000017,1.000834,1.000827
60679.430905,1.000837,0.000017,1.000869,1.000861
60679.440324,1.000930,0.000017,1.000904,1.000895
60679.449743,1.000947,0.000017,1.000940,1.000931
60679.460503,1.000862,0.000017,1.000982,1.000972
60679.470071,1.000970,0.000017,1.001020,1.001010
60679.479490,1.000983,0.000017,1.001058,1.001048
60679.488909,1.001033,0.000017,1.001097,1.001086
60679.498328,1.001114,0.000017,1.001137,1.001126
60679.507747,1.001113,0.000017,1.001177,1.001166
60679.517165,1.001217,0.000017,1.001218,1.001206
60679.526584,1.001311,0.000017,1.001260,1.001248
60679.536003,1.001309,0.000017,1.001302,1.001289
60679.545422,1.001321,0.000017,1.001344,1.001332
60679.554841,1.001343,0.000017,1.001387,1.001374
60679.564260,1.001417,0.000017,1.001431,1.001418
60679.573678,1.001456,0.000017,1.001474,1.001461
60679.583097,1.001567,0.000017,1.001519,1.001506
60679.592516,1.001577,0.000017,1.001563,1.001550
60679.601935,1.001661,0.000017,1.001608,1.001595
60679.611354,1.001612,0.000017,1.001653,1.001640
60679.620772,1.001679,0.000017,1.001698,1.001685
60679.630191,1.001694,0.000017,1.001743,1.001730
60679.639610,1.001740,0.000017,1.001788,1.001775
60679.649029,1.001818,0.000017,1.001833,1.001821
60679.658448,1.001869,0.000017,1.001878,1.001866
60679.667866,1.001908,0.000017,1.001923,1.001911
60679.677285,1.001965,0.000017,1.001968,1.001956
60679.686704,1.002003,0.000017,1.002012,1.002001
60679.696123,1.002030,0.000017,1.002056,1.002046
60679.705542,1.002083,0.000017,1.002100,1.002090
60679.714961,1.002173,0.000017,1.002144,1.002134
60679.724379,1.002199,0.000017,1.002187,1.002177
60679.733798,1.002278,0.000017,1.002229,1.002220
60679.743217,1.002294,0.000017,1.002271,1.002263
60679.752636,1.002359,0.000017,1.002312,1.002304
60679.762055,1.002389,0.000017,1.002352,1.002345
60679.771473,1.002386,0.000017,1.002392,1.002385
60679.780892,1.002420,0.000017,1.002430,1.002424
60679.790311,1.002495,0.000017,1.002468,1.002463
60679.799730,1.002581,0.000017,1.002505,1.002500
60679.809149,1.002588,0.000017,1.002540,1.002536
60679.818568,1.002593,0.000017,1.002575,1.002571
60679.827986,1.002683,0.000017,1.002608,1.002605
60679.837405,1.002733,0.000017,1.002640,1.002638
60679.846824,1.002718,0.000017,1.002671,1.002669
60679.856243,1.002732,0.000017,1.002700,1.002699
60679.865662,1.002683,0.000017,1.002728,1.002728
60679.875080,1.002772,0.000017,1.002755,1.002755
60679.884499,1.002821,0.000017,1.002780,1.002781
60679.893918,1.002783,0.000017,1.002804,1.002805
60679.903337,1.002862,0.000017,1.002825,1.002828
60679.912756,1.002884,0.000017,1.002846,1.002848
60679.922175,1.002872,0.000017,1.002864,1.002868
60679.931593,1.002931,0.000017,1.002881,1.002885
60679.941012,1.002824,0.000017,1.002797,1.002777
60679.950431,1.001135,0.000017,1.000751,1.000897
60679.959850,1.000015,0.000017,1.000000,1.000000
60679.969269,0.999996,0.000017,1.000000,1.000000
60679.978687,0.999978,0.000017,1.000000,1.000000
60679.988106,0.999922,0.000017,1.000000,1.000000
60679.997525,0.999977,0.000017,1.000000,1.000000
60680.006944,1.000007,0.000017,1.000000,1.000000
60680.016363,1.000054,0.000017,1.000000,1.000000
60680.025781,1.000021,0.000017,1.000000,1.000000
60680.035200,1.000046,0.000017,1.000000,1.000000
60680.044619,0.999961,0.000017,1.000000,1.000000
60680.054038,0.999953,0.000017,1.000000,1.000000
60680.063457,0.999942,0.000017,1.000000,1.000000
60680.072876,0.999970,0.000017,1.000000,1.000000
60680.082294,1.000024,0.000017,1.000000,1.000000
